iter	Passed	Remaining
400	24072	32236
401	24133	32178
402	24197	32122
403	24259	32065
404	24321	32008
405	24380	31946
406	24441	31887
407	24502	31829
408	24563	31770
409	24622	31708
410	24680	31646
411	24741	31587
412	24801	31526
413	24861	31466
414	24922	31408
415	24982	31347
416	25045	31291
417	25103	31228
418	25161	31167
419	25220	31104
420	25278	31042
421	25331	30974
422	25387	30909
423	25458	30862
424	25511	30793
425	25566	30727
426	25618	30657
427	25670	30588
428	25728	30525
429	25784	30461
430	25840	30396
431	25893	30328
432	25948	30262
433	25999	30193
434	26057	30130
435	26123	30078
436	26179	30013
437	26234	29948
438	26289	29882
439	26344	29817
440	26403	29755
441	26466	29699
442	26521	29634
443	26576	29569
444	26634	29507
445	26696	29449
446	26760	29394
447	26813	29326
448	26865	29258
449	26917	29190
450	26969	29122
451	27023	29056
452	27079	28992
453	27131	28924
454	27183	28856
455	27236	28789
456	27288	28721
457	27340	28653
458	27392	28585
459	27449	28523
460	27506	28461
461	27562	28397
462	27615	28331
463	27670	28266
464	27727	28204
465	27782	28140
466	27836	28074
467	27891	28010
468	27945	27945
469	27997	27878
470	28051	27812
471	28105	27748
472	28161	27685
473	28213	27617
474	28267	27553
475	28322	27489
476	28377	27425
477	28436	27365
478	28491	27301
479	28547	27239
480	28601	27173
481	28653	27108
482	28711	27047
483	28764	26981
484	28817	26916
485	28873	26853
486	28930	26792
487	28986	26729
488	29041	26665
489	29096	26602
490	29153	26540
491	29211	26480
492	29267	26418
493	29322	26355
494	29375	26289
495	29436	26232
496	29496	26173
497	29553	26111
498	29613	26052
499	29670	25990
500	29732	25933
501	29787	25871
502	29844	25809
503	29898	25746
504	29956	25685
505	30012	25623
506	30067	25559
507	30120	25495
508	30175	25432
509	30229	25369
510	30283	25305
511	30341	25244
512	30397	25183
513	30451	25119
514	30504	25055
515	30560	24993
516	30613	24928
517	30670	24868
518	30727	24807
519	30779	24742
520	30835	24679
521	30889	24616
522	30943	24553
523	30996	24489
524	31048	24424
525	31102	24361
526	31156	24298
527	31207	24233
528	31261	24169
529	31311	24103
530	31365	24040
531	31419	23978
532	31474	23916
533	31527	23852
534	31583	23791
535	31638	23728
536	31696	23669
537	31750	23606
538	31805	23544
539	31859	23481
540	31914	23419
541	31967	23356
542	32020	23292
543	32075	23231
544	32129	23168
545	32185	23107
546	32238	23044
547	32295	22983
548	32350	22922
549	32404	22859
550	32465	22802
551	32520	22740
552	32576	22679
553	32630	22617
554	32685	22555
555	32737	22492
556	32792	22430
557	32850	22371
558	32905	22310
559	32959	22247
560	33016	22187
561	33068	22123
562	33121	22061
563	33173	21998
564	33225	21934
565	33278	21871
566	33332	21810
567	33385	21747
568	33441	21686
569	33494	21624
570	33546	21561
571	33601	21500
572	33654	21438
573	33711	21377
574	33766	21317
575	33819	21254
576	33873	21193
577	33926	21130
578	33983	21070
579	34035	21008
580	34087	20945
581	34140	20883
582	34193	20820
583	34247	20759
584	34305	20700
585	34360	20639
586	34416	20579
587	34470	20518
588	34524	20456
589	34578	20395
590	34636	20336
