iter	Logloss
159	0.2282561319
160	0.2282417212
161	0.228227558
162	0.2282031772
163	0.22818585
164	0.2281665172
165	0.2281539754
166	0.2281471648
167	0.2281402455
168	0.2281284887
169	0.2281168123
170	0.2281039256
171	0.2280860754
172	0.2280750188
173	0.2280481386
174	0.2280409698
175	0.2280231875
176	0.2280097043
177	0.2279996975
178	0.2279775051
179	0.2279646371
180	0.2279454511
181	0.2279432332
182	0.2279393914
183	0.2279373436
184	0.2279303875
185	0.2279143521
186	0.2278978354
187	0.2278771844
188	0.2278644668
189	0.2278609377
190	0.2278308863
191	0.2278210846
192	0.2278185593
193	0.2277976798
194	0.2277851607
195	0.2277751583
196	0.2277516054
197	0.2277388546
198	0.2277246192
199	0.2277080024
200	0.2276912063
201	0.2276692266
202	0.2276665617
203	0.2276460896
204	0.2276375452
205	0.2276196741
206	0.2276067296
207	0.2275926246
208	0.2275782461
209	0.2275665257
210	0.2275519901
211	0.2275315825
212	0.2275157272
213	0.2275084396
214	0.2275028438
215	0.2274867923
216	0.2274756352
217	0.2274578748
218	0.2274471793
219	0.2274406777
220	0.2274314438
221	0.2274217396
222	0.2274079387
223	0.2273941499
224	0.2273797432
225	0.2273695475
226	0.2273514667
227	0.227345427
228	0.2273398654
229	0.2273283942
230	0.2273171897
231	0.2272978168
232	0.2272895088
233	0.2272746302
234	0.2272665188
235	0.2272637769
236	0.2272558674
237	0.2272454086
238	0.2272354497
239	0.227223564
240	0.227214221
241	0.2272016138
242	0.2271868976
243	0.2271819382
244	0.2271562603
245	0.227149525
246	0.2271345893
247	0.2271199358
248	0.2271096543
249	0.227093276
250	0.2270855432
251	0.2270714748
252	0.2270566778
253	0.2270489193
254	0.2270381028
255	0.2270252005
256	0.2270093294
257	0.2269957807
258	0.2269831212
259	0.2269812639
260	0.2269715254
261	0.2269691858
262	0.2269603041
263	0.2269517605
264	0.2269421805
265	0.2269253409
266	0.2269128758
267	0.2268998504
268	0.2268821848
269	0.2268729908
270	0.2268546786
271	0.2268390924
272	0.2268359366
273	0.2268260498
274	0.2268153596
275	0.2268023003
276	0.2267890376
277	0.2267834831
278	0.2267706097
279	0.2267634995
280	0.226751655
281	0.2267438111
282	0.2267345388
283	0.2267212571
284	0.2267078718
285	0.2266963838
286	0.2266817011
287	0.2266661913
288	0.2266513343
289	0.2266378222
290	0.2266264149
291	0.2266167939
292	0.2265949362
293	0.2265826854
294	0.2265732074
295	0.2265654356
296	0.2265525277
297	0.2265432363
298	0.2265281409
299	0.2265196621
300	0.2265090252
301	0.2264960282
302	0.2264940816
303	0.2264835796
304	0.2264737589
305	0.2264650863
306	0.2264579404
307	0.2264362982
308	0.2264221734
309	0.2264076712
310	0.2264002435
311	0.2263932145
312	0.22638912
313	0.2263766241
314	0.2263681618
315	0.2263610619
316	0.2263479172
317	0.2263402241
318	0.2263364533
319	0.2263286492
320	0.2263130489
321	0.2263000918
322	0.2262967084
323	0.2262809324
324	0.2262745603
325	0.22626315
326	0.2262550457
327	0.2262523111
328	0.2262452954
329	0.2262381462
330	0.2262237485
331	0.2262117231
332	0.2262090653
333	0.2261950963
334	0.226182908
335	0.2261711579
336	0.226164172
337	0.2261528343
338	0.2261420424
339	0.2261285103
340	0.2261138853
341	0.2261014522
342	0.2261000548
343	0.2260956168
344	0.2260862045
345	0.226084187
346	0.226080376
347	0.2260690769
348	0.2260600207
349	0.2260457482
350	0.2260393116
351	0.2260291096
352	0.2260197445
353	0.2260061753
354	0.2259934372
355	0.2259876353
356	0.2259799374
357	0.2259787124
358	0.2259738475
359	0.2259682099
360	0.2259576299
361	0.2259559459
362	0.2259450719
363	0.2259374046
364	0.2259246461
365	0.2259110063
366	0.2258964732
367	0.2258924551
368	0.2258798395
369	0.2258667153
370	0.2258628003
371	0.2258519162
372	0.2258379064
373	0.2258255749
374	0.2258237843
375	0.2258098784
376	0.2258082171
377	0.2257900395
378	0.225781248
379	0.2257633511
380	0.2257522574
381	0.2257379789
382	0.2257367495
383	0.2257308268
384	0.2257161053
385	0.2257124544
386	0.2257043829
387	0.2256896774
388	0.2256851579
389	0.2256770294
390	0.2256639188
391	0.2256493107
392	0.2256408427
393	0.225633396
394	0.2256186233
395	0.22560543
396	0.2256043072
397	0.2255939094
398	0.2255893501
399	0.2255803801
400	0.2255741454
401	0.2255713697
402	0.2255651089
403	0.2255617328
404	0.2255487923
405	0.2255388871
406	0.2255374279
407	0.2255255922
408	0.2255245333
409	0.2255106875
410	0.2255071361
411	0.2254871159
412	0.2254677153
413	0.2254571024
414	0.225442941
415	0.2254371956
416	0.2254248065
417	0.225416232
418	0.2254111137
419	0.2253999486
420	0.225388739
421	0.2253809797
422	0.2253736366
423	0.2253609218
424	0.2253512206
425	0.225339025
426	0.2253308673
427	0.2253233799
428	0.2253121007
429	0.2253050881
430	0.2253023371
431	0.2252959647
432	0.2252904512
433	0.2252761715
434	0.2252570836
435	0.2252451828
436	0.2252291691
437	0.225219782
438	0.2252142234
439	0.225212903
440	0.2252038363
441	0.225193021
442	0.2251858275
443	0.2251791311
444	0.2251685865
445	0.2251638867
446	0.2251606001
447	0.225154969
448	0.2251465113
449	0.2251341958
450	0.22513045
451	0.2251167984
452	0.2251004605
453	0.2250846825
454	0.2250820936
455	0.2250738148
456	0.2250628431
457	0.2250611335
458	0.2250546023
459	0.2250442301
460	0.2250306649
461	0.225012563
462	0.2250104192
463	0.2249988725
464	0.2249953898
465	0.2249835824
466	0.22497269
467	0.2249614863
468	0.2249488941
469	0.2249398248
470	0.2249271017
471	0.2249205529
472	0.2249194405
473	0.2249103267
474	0.2249004666
475	0.2248951851
476	0.2248853989
477	0.224875388
478	0.2248569364
479	0.224847771
480	0.2248425642
481	0.2248370866
482	0.2248251013
483	0.224815273
484	0.2248069131
485	0.2247934423
486	0.2247825691
487	0.2247711928
488	0.2247599601
489	0.2247515943
490	0.2247390087
491	0.224733288
492	0.2247216666
493	0.2247122878
494	0.2246994272
495	0.2246887839
496	0.2246802877
497	0.2246702993
498	0.2246608877
499	0.2246575876
500	0.2246456831
501	0.2246331935
502	0.2246225108
503	0.2246151801
504	0.2245991463
505	0.2245911368
506	0.2245847892
507	0.2245749147
508	0.2245734556
509	0.2245644121
510	0.2245550125
511	0.224553344
512	0.2245450241
513	0.2245410486
514	0.2245290163
515	0.2245240303
516	0.2245140405
517	0.224509738
518	0.2244979896
519	0.224488348
520	0.224481959
521	0.2244808917
522	0.2244754716
523	0.2244603149
524	0.2244523336
525	0.2244418105
526	0.2244405382
527	0.2244318116
528	0.224425415
529	0.2244122322
530	0.2244027569
531	0.2243874161
532	0.2243866824
533	0.2243780714
534	0.2243676581
535	0.2243564569
536	0.2243555416
537	0.2243461448
538	0.2243428889
539	0.2243318848
540	0.224323454
541	0.2243224802
542	0.2243164394
543	0.2243075633
544	0.2242966138
545	0.2242918053
546	0.2242892901
547	0.2242743467
548	0.2242726434
549	0.224258923
550	0.2242468309
551	0.2242377988
552	0.2242313622
553	0.2242208853
554	0.2242091936
555	0.2242072111
556	0.2242006886
557	0.224195872
558	0.2241848094
559	0.224171562
560	0.2241669619
561	0.2241661316
562	0.2241549561
563	0.2241471298
564	0.2241310899
565	0.2241226964
566	0.2241101654
567	0.224105349
568	0.2240872277
569	0.2240779408
570	0.224076539
571	0.2240655775
572	0.2240497242
573	0.2240395862
574	0.2240321666
575	0.2240221092
576	0.2240171457
577	0.2240131831
578	0.2240040039
579	0.2239956749
580	0.223987386
581	0.2239799112
582	0.2239656644
583	0.2239547082
584	0.2239429238
585	0.2239329455
586	0.2239187292
587	0.2239098633
588	0.2239029388
589	0.2238947174
590	0.2238812635
591	0.2238789913
592	0.2238744373
593	0.223860351
594	0.2238517418
595	0.2238475172
596	0.223837927
597	0.2238354426
598	0.2238185612
599	0.2238060793
600	0.2237978949
601	0.2237884829
602	0.2237769585
603	0.2237671091
604	0.2237627628
605	0.2237607507
606	0.2237512754
607	0.2237478891
608	0.2237357084
609	0.2237305162
610	0.223723111
611	0.2237162849
612	0.2237104963
613	0.2237081957
614	0.2236957734
615	0.2236861698
616	0.2236833566
617	0.2236785061
618	0.2236674817
619	0.2236581789
620	0.2236470877
621	0.2236386469
622	0.2236286401
623	0.2236156956
624	0.2236036289
625	0.2235936008
626	0.2235821317
627	0.2235725899
628	0.2235593016
629	0.2235569581
630	0.2235469718
631	0.2235351549
632	0.223527625
633	0.22351533
634	0.2235133198
635	0.2234989131
636	0.2234914389
637	0.2234767015
638	0.2234689851
639	0.2234556394
640	0.2234473254
641	0.2234460488
642	0.2234343965
643	0.2234280763
644	0.2234187698
645	0.2234116607
646	0.2234004287
647	0.2233901252
648	0.223381988
649	0.2233790778
650	0.2233684646
651	0.2233558974
652	0.2233540842
653	0.2233388214
654	0.2233262345
655	0.2233243001
656	0.2233179123
657	0.2233048047
658	0.223295618
659	0.2232833655
660	0.2232742038
661	0.2232692222
662	0.2232612113
663	0.2232517403
664	0.2232494448
665	0.2232443349
666	0.2232383967
667	0.2232286824
668	0.2232210775
669	0.2232064044
670	0.2232045438
671	0.2231986629
672	0.2231974736
673	0.2231905114
674	0.2231819573
675	0.2231799469
676	0.2231681935
677	0.2231608423
678	0.2231537712
679	0.2231438184
680	0.2231311223
681	0.2231217982
682	0.2231181226
683	0.223105773
684	0.2230980834
685	0.2230815028
686	0.2230723161
687	0.2230702821
688	0.2230616614
689	0.2230600555
690	0.2230484753
691	0.2230344071
692	0.2230191594
693	0.2230089185
694	0.2230022608
695	0.2229943446
696	0.2229855416
697	0.2229809158
698	0.2229791491
699	0.2229691381
700	0.2229673763
701	0.2229592247
702	0.2229576112
703	0.2229524542
704	0.2229411127
705	0.2229303332
706	0.2229233768
707	0.2229127415
708	0.222900757
709	0.2228975022
710	0.2228921304
711	0.2228833278
712	0.2228718282
713	0.2228614381
714	0.2228524592
715	0.2228456725
716	0.2228447059
717	0.2228390591
718	0.2228306393
719	0.2228236183
720	0.2228123065
721	0.2228031579
722	0.2227972274
723	0.2227822088
724	0.2227717085
725	0.2227668999
726	0.2227537933
727	0.2227517429
728	0.2227508902
729	0.2227485743
730	0.2227435719
731	0.2227417074
732	0.2227331328
733	0.2227314813
734	0.2227262881
735	0.2227193944
736	0.222711881
737	0.2227072449
738	0.2227001023
739	0.2226873753
740	0.2226799542
741	0.2226717649
742	0.2226643329
743	0.222653945
744	0.222641683
745	0.2226307815
746	0.2226209208
747	0.2226075937
748	0.2225950091
749	0.222582853
750	0.2225756207
751	0.222568073
752	0.2225601929
753	0.2225510312
754	0.2225443779
755	0.2225378195
756	0.2225343892
757	0.2225260614
758	0.2225255463
759	0.2225161642
760	0.2225136247
761	0.2225056744
762	0.2224953516
763	0.2224876986
764	0.2224860475
765	0.2224740371
766	0.2224722403
767	0.222466038
768	0.2224580718
769	0.2224519814
770	0.222444979
771	0.2224401984
772	0.2224325616
773	0.2224243897
774	0.2224203209
775	0.2224146287
776	0.222409492
777	0.2224043817
778	0.2223989503
779	0.2223870841
780	0.2223788696
781	0.2223679675
782	0.2223635163
783	0.222357745
784	0.2223513747
785	0.2223442627
786	0.2223440625
787	0.2223341352
788	0.2223202352
789	0.222319644
790	0.2223109894
791	0.2223051858
792	0.2222950891
793	0.2222860043
794	0.2222719453
795	0.2222626823
796	0.2222605982
797	0.2222509129
798	0.2222451072
799	0.2222425568
800	0.2222415973
801	0.2222309367
802	0.2222217922
803	0.2222140745
804	0.2222072709
805	0.2221969243
806	0.2221840545
807	0.2221757728
808	0.2221655656
809	0.2221529322
810	0.2221513641
811	0.2221444398
812	0.2221367209
813	0.2221286862
814	0.2221247507
815	0.2221164533
816	0.222114875
817	0.2221066918
818	0.2220999869
819	0.2220949425
820	0.2220905251
821	0.2220837052
822	0.222079333
823	0.2220695528
824	0.2220628505
825	0.2220515962
826	0.2220425834
827	0.22203487
828	0.2220327664
829	0.222025623
830	0.2220217945
831	0.2220121575
832	0.2220042336
833	0.2219982668
834	0.221987149
835	0.2219838969
836	0.2219739382
837	0.2219655884
838	0.2219564339
839	0.2219458681
840	0.2219412126
841	0.2219342318
842	0.2219218608
843	0.2219121818
844	0.2218954628
845	0.2218868973
846	0.2218795457
847	0.2218688376
848	0.2218623016
849	0.2218553216
850	0.2218472582
851	0.221838002
852	0.2218282582
853	0.2218226224
854	0.2218139115
855	0.2218028396
856	0.2217967731
857	0.2217916003
858	0.2217850505
859	0.2217802737
860	0.2217732927
861	0.2217691909
862	0.2217684921
863	0.2217627087
864	0.2217540737
865	0.2217469782
866	0.2217404185
867	0.2217316064
868	0.2217235615
869	0.2217150229
870	0.2217065675
871	0.2216951202
872	0.2216896149
873	0.2216829466
874	0.2216772054
875	0.2216661718
876	0.2216552527
877	0.2216488652
878	0.2216394374
879	0.2216248733
880	0.2216155818
881	0.2216090144
882	0.2216053413
883	0.2215981692
884	0.2215892677
885	0.2215849017
886	0.22158338
887	0.2215818194
888	0.2215721164
889	0.2215669461
890	0.2215611367
891	0.2215526215
892	0.2215436015
893	0.2215418283
894	0.2215357289
895	0.2215274161
896	0.221520805
897	0.2215173411
898	0.2215083552
899	0.2215030325
900	0.2214975762
901	0.2214849258
902	0.221480689
903	0.2214685843
904	0.2214589086
905	0.2214463551
906	0.2214450413
907	0.2214355442
908	0.2214305356
909	0.2214232315
910	0.2214194468
911	0.221407791
912	0.2213990836
913	0.221389605
914	0.2213832672
915	0.2213781384
916	0.2213672719
917	0.2213613779
918	0.2213508863
919	0.2213417436
920	0.2213351456
921	0.2213286637
922	0.221319156
923	0.221313485
924	0.2213031942
925	0.2212964679
926	0.2212927563
927	0.2212858165
928	0.2212837448
929	0.2212723177
930	0.2212657276
931	0.2212513152
932	0.2212449656
933	0.2212399328
934	0.2212309864
935	0.2212256907
936	0.2212189693
937	0.2212067009
